,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,am_pm
88,NXGWF,Next Green Wave Holdings Inc,2021-11-30T08:30:17.000Z,TAS,,,,EST,-18000000,EQUITY,AM
89,GTH,Genetron Holdings Ltd,2021-11-30T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
90,NTAP,NetApp Inc,2021-11-30T16:01:00.000Z,TAS,1.21,1.28,5.79,EST,-18000000,EQUITY,PM
91,CRM,Salesforce.Com Inc,2021-11-30T16:05:00.000Z,TAS,0.92,1.27,38.04,EST,-18000000,EQUITY,PM
92,ZS,Zscaler Inc,2021-11-30T16:05:01.000Z,TAS,0.12,0.14,16.67,EST,-18000000,EQUITY,PM
93,TGIFF,1933 Industries Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
94,KRKR,36kr Holdings Inc,2021-12-01T13:30:00.000Z,BMO,-0.12,,,EST,-18000000,EQUITY,PM
95,JOBS,51job Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
96,BBW,Build-A-Bear Workshop Inc,2021-12-01T13:30:00.000Z,BMO,-0.17,,,EST,-18000000,EQUITY,PM
97,CDMO,Avid Bioservices Inc,2021-12-01T21:00:00.000Z,AMC,0.02,,,EST,-18000000,EQUITY,PM
98,AZRE,Azure Power Global Ltd,2021-12-01T21:00:00.000Z,AMC,-0.12,,,EST,-18000000,EQUITY,PM
99,GIII,G-III Apparel Group Ltd,2021-12-01T13:30:00.000Z,BMO,1.79,,,EST,-18000000,EQUITY,PM
100,REX,REX American Resources Corp,2021-12-01T13:30:00.000Z,BMO,0.82,,,EST,-18000000,EQUITY,PM
101,KYN,Kayne Anderson Energy Infrastructure Fund Inc,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
102,HOLI,Hollysys Automation Technologies Ltd,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
103,HOLI,Hollysys Automation Technologies Ltd,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
104,BASXQ,Basic Energy Services Inc,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
105,DOOO,BRP Inc,2021-12-01T13:30:00.000Z,BMO,1.04,,,EST,-18000000,EQUITY,PM
106,BOMH,Boomer Holdings Inc,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
107,BKRRF,Blackrock Silver Corp,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
108,BOMH,Boomer Holdings Inc,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
109,RY,Royal Bank of Canada,2021-12-01T13:30:00.000Z,BMO,2.21,,,EST,-18000000,EQUITY,PM
110,FIVE,Five Below Inc,2021-12-01T21:00:00.000Z,AMC,0.29,,,EST,-18000000,EQUITY,PM
111,NTIOF,National Bank of Canada,2021-12-01T13:30:00.000Z,BMO,1.76,,,EST,-18000000,EQUITY,PM
112,SQBGQ,Sequential Brands Group Inc,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
113,BIMI,Bimi International Medical Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
114,STZ,Constellation Brands Inc,2021-12-01T10:59:00.000Z,TNS,2.85,,,EST,-18000000,EQUITY,AM
115,BYSI,BeyondSpring Inc,2021-12-01T13:30:00.000Z,BMO,-0.39,,,EST,-18000000,EQUITY,PM
116,TY,Tri-Continental Corp,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
117,CULP,Culp Inc,2021-12-01T21:00:00.000Z,AMC,0.08,,,EST,-18000000,EQUITY,PM
118,FEDU,Four Seasons Education (Cayman) Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
119,FEDU,Four Seasons Education (Cayman) Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
120,REDU,RISE Education Cayman Ltd,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
121,CRON,Cronos Group Inc,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
122,CYD,China Yuchai International Ltd,2021-12-01T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
123,SMTC,Semtech Corp,2021-12-01T21:00:00.000Z,AMC,0.72,,,EST,-18000000,EQUITY,PM
124,FFHL,Fuwei Films (Holdings) Co Ltd,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
125,PDCO,Patterson Companies Inc,2021-12-01T13:30:00.000Z,BMO,0.5,,,EST,-18000000,EQUITY,PM
126,PVH,PVH Corp,2021-12-01T21:00:00.000Z,AMC,2.07,,,EST,-18000000,EQUITY,PM
127,CRWD,Crowdstrike Holdings Inc,2021-12-01T21:00:00.000Z,AMC,0.1,,,EST,-18000000,EQUITY,PM
128,DCI,Donaldson Company Inc,2021-12-01T13:30:00.000Z,BMO,0.55,,,EST,-18000000,EQUITY,PM
129,NFH,New Frontier Health Corp,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
130,NFH,New Frontier Health Corp,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
131,NFH,New Frontier Health Corp,2021-12-01T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
